,民國110年03月,,,,,,,March 2021,,,
證  券  名  稱,成   交   值,成  交  量,成交筆數,均    價,收盤均價,月底收盤價,盤中最高價,,盤中最低價,,成 交 量
,,,,(註一),(註二),End-of-,,日    期,,日    期,週轉率(％)
Security's,Trading,Trading,No. of,Average,Cls. Avg.,Month,Price of,Date of,Price of,Date of,Volume
Code & Name,Value,Volume,Trans.,Price,Price,Closing,Monthly,Monthly,Monthly,Monthly,Turnover
,,,,(Note 1),(Note 2),Price,High,High,Low,Low,Rate(％)
01 水泥工業類,,,,,,,,,,,
Cement,,,,,,,,,,,
085954 深中小凱基0B購01,"1,720,550","1,904,000",49,0.90,0.79,0.70,1.05,03/08,0.64,03/25,
085955 南帝凱基08購01,"5,791,410","2,470,000",240,2.34,2.76,5.15,5.15,03/29,1.32,03/03,
085956 鴻海凱基08購23,"5,379,810","2,354,000",398,2.29,2.19,2.19,2.97,03/23,1.55,03/04,
085957 台積電凱基08購34,"4,022,050","3,499,000",127,1.15,1.15,0.98,1.44,03/02,0.84,03/25,
085958 旺宏凱基08購08,"328,580","419,000",46,0.78,0.84,0.89,1.37,03/02,0.60,03/09,
085959 光罩凱基08購02,"14,493,940","11,805,000",459,1.23,1.18,2.23,2.36,03/30,0.43,03/09,
085960 華邦電凱基08購08,"1,020","2,000",1,0.51,0.51,0.51,0.51,03/05,0.51,03/05,
085961 友達凱基08購10,"1,231,050","654,000",119,1.88,1.84,2.40,2.48,03/30,1.46,03/09,
085962 義隆凱基08購05,"1,738,390","1,003,000",144,1.73,1.58,2.07,2.31,03/30,1.21,03/09,
085963 立隆電凱基08購02,"787,450","1,053,000",55,0.75,0.73,0.66,0.89,03/02,0.64,03/24,
085964 華新科凱基08購06,"1,020,210","674,000",84,1.51,1.45,1.27,1.77,03/16,1.17,03/09,
085965 華新科凱基09購02,"418,640","462,000",41,0.91,0.84,0.72,1.04,03/16,0.68,03/10,
085966 美食凱基08購02,"851,250","891,000",58,0.96,0.88,1.05,1.19,03/30,0.66,03/18,
085967 王品凱基08購01,"4,519,800","4,008,000",235,1.13,1.17,1.29,1.55,03/16,0.84,03/03,
085968 晶豪科凱基08購04,"11,880,040","5,214,000",442,2.28,2.10,2.88,3.19,03/31,1.70,03/09,
085969 聯陽凱基08購02,"1,999,970","1,894,000",122,1.06,1.03,1.16,1.30,03/16,0.81,03/03,
085970 欣興凱基09購01,"418,440","524,000",43,0.80,0.76,0.72,1.06,03/02,0.64,03/25,
085971 玉晶光凱基08購11,"2,477,510","1,356,000",228,1.83,1.70,1.65,2.18,03/03,1.29,03/24,
085972 群創凱基08購10,"4,129,630","2,335,000",250,1.77,1.60,2.57,2.91,03/29,1.11,03/17,
085973 健策凱基08購02,"546,750","560,000",24,0.98,1.33,0.85,1.69,03/04,0.85,03/31,
085974 臻鼎凱基09購02,"1,339,290","927,000",89,1.44,1.41,1.27,1.58,03/22,1.20,03/09,
085975 松翰凱基08購02,"6,971,050","8,411,000",494,0.83,0.82,1.04,1.19,03/30,0.62,03/03,
085976 臺股指凱基0B購03,"5,656,970","4,516,000",138,1.25,1.26,1.38,1.47,03/30,1.05,03/25,
085977 臺股指凱基0B購04,"3,023,320","3,013,000",91,1.00,1.00,1.19,1.23,03/31,0.74,03/05,
085978 臺股指凱基12購01,"6,945,330","9,145,000",390,0.76,0.77,0.84,0.92,03/18,0.57,03/09,
085979 聚陽元大08購01,"8,561,470","4,777,000",311,1.79,1.70,2.36,2.49,03/29,1.18,03/05,
085980 南帝元大09購01,"16,772,540","7,934,000",619,2.11,2.60,6.00,6.00,03/31,1.10,03/03,
085981 聯電元大0C購05,"1,935,240","3,422,000",69,0.57,0.58,0.61,0.85,03/02,0.48,03/09,
085982 聯電元大0C購06,"16,223,110","23,850,000",262,0.68,0.64,0.66,0.93,03/02,0.52,03/09,
085983 國巨元大09購02,"283,010","226,000",4,1.25,1.10,0.97,1.26,03/16,0.92,03/19,
085984 國巨元大0C購03,"292,020","416,000",44,0.70,0.71,0.65,0.86,03/03,0.60,03/10,
085985 國巨元大0C購04,"2,593,760","4,040,000",172,0.64,0.64,0.58,0.87,03/02,0.55,03/25,
085986 廣宇元大08購06,"41,362,170","23,626,000",704,1.75,1.71,1.67,2.45,03/23,1.39,03/09,
085987 華邦電元大08購06,"2,173,200","1,255,000",212,1.73,1.68,1.76,2.56,03/02,1.38,03/09,
085988 華邦電元大0C購03,"678,070","859,000",43,0.79,0.75,0.77,1.00,03/02,0.64,03/09,
085989 宏碁元大08購06,"5,050,010","2,277,000",212,2.22,2.04,2.68,3.10,03/25,1.45,03/03,
085990 宏碁元大0C購01,"5,356,630","2,982,000",214,1.80,1.60,2.07,2.32,03/25,1.20,03/05,
085991 技嘉元大08購02,"7,894,820","3,873,000",343,2.04,2.02,2.42,2.45,03/31,1.34,03/05,
085992 技嘉元大08購03,"8,242,870","3,661,000",331,2.25,2.19,2.58,2.60,03/18,1.49,03/05,
085993 友達元大08購09,"7,097,520","2,816,000",250,2.52,2.53,3.17,3.54,03/30,2.08,03/12,
085994 友達元大0B購01,"2,712,950","1,262,000",103,2.15,2.15,2.55,2.80,03/30,1.78,03/09,
085995 聯發科元大08購14,"364,550","280,000",18,1.30,1.28,1.42,1.60,03/02,1.04,03/22,
085996 富邦金元大09購01,"17,039,120","6,482,000",527,2.63,2.59,3.26,3.56,03/31,1.76,03/04,
085997 富邦金元大0A購01,"3,914,020","1,217,000",322,3.22,3.14,4.00,4.35,03/31,2.00,03/05,
085998 健和興元大08購01,"4,234,400","3,826,000",117,1.11,1.00,1.05,1.26,03/22,0.76,03/09,
085999 晶豪科元大08購06,"12,336,660","4,780,000",400,2.58,2.44,3.30,3.49,03/31,2.01,03/10,
086000 大立光元大08購09,"2,733,440","1,885,000",61,1.45,1.45,1.22,1.69,03/09,1.19,03/24,
086001 大立光元大0C購05,"86,980","96,000",11,0.91,0.92,0.78,1.03,03/10,0.78,03/29,
086002 大立光元大0C購06,"247,780","305,000",48,0.81,0.80,0.67,0.93,03/09,0.67,03/31,
086003 聯詠元大08購06,"16,184,930","10,834,000",581,1.49,1.27,1.69,1.88,03/31,0.90,03/05,
086004 聯詠元大09購02,"27,465,040","16,192,000",800,1.70,1.72,2.33,2.56,03/31,1.24,03/05,
086005 聯詠元大0A購01,"11,328,550","7,083,000",394,1.60,1.59,2.32,2.34,03/31,1.14,03/05,
086006 晶技元大08購05,"247,230","202,000",30,1.22,1.23,1.32,1.33,03/12,1.08,03/09,
086007 晶技元大0B購01,"2,204,150","1,749,000",119,1.26,1.18,1.29,1.43,03/31,1.02,03/09,
086008 緯創元大08購04,"7,347,940","3,203,000",245,2.29,2.16,2.24,2.60,03/22,1.76,03/05,
086009 玉晶光元大0A購02,"879,500","730,000",160,1.20,1.10,1.08,1.33,03/03,0.92,03/22,
086010 京鼎元大08購01,"1,261,800","1,034,000",55,1.22,1.13,1.09,1.43,03/29,0.92,03/11,
086011 京鼎元大0A購01,"2,302,830","1,704,000",57,1.35,1.32,1.17,1.56,03/29,1.15,03/11,
086012 日月光元大08購05,"3,648,730","2,693,000",110,1.35,1.35,1.47,1.53,03/03,1.14,03/09,
086013 日月光元大08購06,"1,723,580","1,351,000",79,1.28,1.22,1.15,1.39,03/03,1.02,03/09,
086014 日月光元大0C購01,"2,238,150","1,381,000",51,1.62,1.60,1.59,1.76,03/02,1.45,03/11,
086015 盛群元大08購03,"8,844,570","5,994,000",264,1.48,1.42,1.62,1.80,03/30,1.21,03/11,
086016 聚鼎元大08購01,"14,515,080","9,757,000",376,1.49,1.46,1.49,2.10,03/16,1.10,03/05,
086017 台郡元大08購03,"101,710","116,000",6,0.88,0.88,0.91,0.94,03/17,0.81,03/25,
086018 同欣電元大0C購01,"3,069,030","2,256,000",103,1.36,1.36,1.32,1.72,03/02,1.18,03/25,
086019 亞光康和09購01,"208,460","234,000",17,0.89,0.88,0.78,0.97,03/22,0.74,03/25,
086021 旺宏永豐08購01,"153,400","332,000",13,0.46,0.37,0.36,0.51,03/02,0.26,03/08,
086022 光罩永豐08購03,"7,987,000","8,495,000",364,0.94,0.71,1.34,1.51,03/30,0.25,03/09,
086023 友達永豐08購06,"5,980,980","8,618,000",342,0.69,0.65,0.84,0.97,03/29,0.51,03/09,
086024 興勤永豐08購01,"186,160","516,000",18,0.36,0.37,0.34,0.48,03/03,0.32,03/25,
086025 立隆電永豐08購01,"1,453,130","3,347,000",140,0.43,0.42,0.31,0.58,03/02,0.30,03/25,
086026 強茂永豐08購01,"881,540","2,019,000",28,0.44,0.44,0.41,0.62,03/02,0.33,03/09,
086027 榮運永豐08購01,"2,172,830","2,511,000",110,0.87,0.85,0.91,1.07,03/22,0.76,03/12,
086028 萬海永豐08購01,"1,665,230","1,012,000",170,1.65,1.50,2.08,2.14,03/31,1.17,03/05,
086029 長榮航永豐08購01,"4,602,130","6,654,000",261,0.69,0.63,0.59,0.90,03/02,0.50,03/09,
086030 美食永豐08購01,"2,575,770","2,089,000",132,1.23,1.23,1.46,1.63,03/31,1.02,03/19,
086031 晶豪科永豐08購04,"6,063,770","7,858,000",330,0.77,0.76,1.06,1.15,03/31,0.60,03/10,
086032 聯陽永豐08購03,"3,976,270","3,010,000",219,1.32,1.25,1.59,1.69,03/16,0.92,03/08,
086033 嘉晶永豐08購02,"369,370","432,000",24,0.86,0.86,0.79,1.00,03/22,0.76,03/17,
086034 欣興永豐08購01,"240,230","711,000",17,0.34,0.33,0.32,0.40,03/03,0.24,03/25,
086035 景碩永豐08購02,"1,503,150","2,251,000",98,0.67,0.47,0.76,0.81,03/31,0.33,03/19,
086036 創意永豐08購03,"143,660","218,000",38,0.66,0.67,0.45,1.05,03/02,0.42,03/26,
086037 創意永豐08購04,"271,930","1,296,000",49,0.21,0.22,0.16,0.41,03/02,0.14,03/24,
086038 群創永豐08購05,"5,753,200","5,516,000",310,1.04,0.81,1.30,1.50,03/29,0.53,03/11,
086039 致伸永豐08購02,"1,083,570","2,447,000",77,0.44,0.44,0.40,0.53,03/12,0.34,03/26,
086040 彩晶永豐08購02,"3,372,490","4,303,000",71,0.78,0.50,0.86,0.91,03/31,0.32,03/09,
086041 同欣電永豐08購01,"73,150","210,000",4,0.35,0.33,0.29,0.42,03/03,0.28,03/09,
086042 達方永豐08購01,"2,274,830","1,628,000",100,1.40,1.37,1.39,1.61,03/16,1.23,03/25,
086044 中鴻元富08購01,"3,553,550","2,349,000",75,1.51,1.43,1.76,1.76,03/31,1.13,03/24,
086045 旺宏元富0A購04,"135,000","180,000",2,0.75,0.75,0.75,0.75,03/02,0.75,03/02,
086047 聯發科元富12購01,"4,486,380","3,144,000",61,1.43,1.52,1.88,1.90,03/31,1.26,03/10,
086048 聯陽元富08購02,"3,566,340","3,551,000",138,1.00,1.03,1.27,1.31,03/16,0.80,03/05,
086049 聯陽元富0B購01,"3,200,140","3,397,000",130,0.94,0.92,1.10,1.16,03/16,0.78,03/08,
086050 亞光元富08購02,"381,640","648,000",105,0.59,0.58,0.54,0.67,03/11,0.47,03/25,
086051 欣興元富0B購01,"127,370","191,000",21,0.67,0.68,0.66,0.85,03/02,0.55,03/25,
086052 鴻海統一0C購04,"10,360,780","11,102,000",488,0.93,0.91,0.85,1.27,03/23,0.65,03/04,
086053 旺宏統一0A購03,"147,730","216,000",14,0.68,0.68,0.65,1.00,03/02,0.57,03/05,
086054 旺宏統一0A購04,"96,800","182,000",12,0.53,0.56,0.60,0.64,03/19,0.48,03/05,
086055 旺宏統一0A購05,"115,130","203,000",27,0.57,0.55,0.56,0.60,03/23,0.50,03/25,
086056 光罩統一09購01,"11,737,670","9,083,000",366,1.29,1.07,1.78,1.92,03/30,0.46,03/10,
086057 光罩統一09購02,"7,805,310","7,350,000",346,1.06,0.95,1.49,1.64,03/30,0.42,03/03,
086058 光罩統一0A購02,"8,148,790","9,925,000",451,0.82,0.67,1.15,1.27,03/30,0.29,03/10,
086059 華邦電統一0A購05,"177,000","394,000",11,0.45,0.44,0.41,0.64,03/02,0.38,03/09,
086060 南亞科統一09購04,"17,900","20,000",2,0.90,0.90,0.80,0.99,03/02,0.80,03/03,
086061 南亞科統一0A購02,"3,630,910","6,787,000",141,0.53,0.53,0.50,0.78,03/02,0.42,03/09,
086062 大立光統一0A購06,"193,600","290,000",14,0.67,0.66,0.54,0.76,03/10,0.54,03/24,
086063 大立光統一0B購02,"3,485,980","7,428,000",194,0.47,0.48,0.38,0.60,03/10,0.38,03/31,
086064 亞光統一0A購05,"297,290","791,000",25,0.38,0.36,0.33,0.42,03/02,0.30,03/25,
086065 亞光統一0A購06,"100,770","186,000",9,0.54,0.50,0.42,0.58,03/02,0.42,03/25,
086066 智原統一0A購01,"614,710","1,078,000",19,0.57,0.58,0.57,0.61,03/04,0.54,03/26,
086067 欣興統一0B購01,"1,716,790","2,713,000",55,0.63,0.63,0.65,0.74,03/05,0.53,03/25,
086068 景碩統一09購03,"1,004,830","1,097,000",79,0.92,0.76,1.04,1.10,03/31,0.61,03/18,
086069 精成科統一0A購01,"12,234,430","12,538,000",460,0.98,0.93,1.07,1.35,03/24,0.72,03/09,
086070 台郡統一0A購02,"71,140","114,000",4,0.62,0.62,0.63,0.64,03/17,0.61,03/12,
086071 台郡統一0A購03,"2,058,030","3,792,000",19,0.54,0.56,0.52,0.59,03/18,0.52,03/25,
086072 臺股指統一0A購01,"382,070","730,000",104,0.52,0.52,0.61,0.63,03/30,0.40,03/09,
086073 聯電國泰0A購03,"758,410","919,000",53,0.83,0.82,0.88,0.90,03/31,0.72,03/11,
086074 晶豪科國泰0A購01,"7,461,370","3,725,000",269,2.00,2.04,2.74,2.76,03/31,1.56,03/11,
086075 晶豪科國泰0A購02,"12,570,640","7,000,000",438,1.80,1.57,2.15,2.37,03/31,1.20,03/11,
086076 亞光國泰0A購01,"1,944,050","1,938,000",130,1.00,0.96,0.92,1.20,03/02,0.81,03/25,
086077 美指2X富邦0A購01,"6,074,160","3,259,000",122,1.86,1.88,2.07,2.07,03/31,1.71,03/18,
086078 智邦富邦0A購01,"5,992,440","7,005,000",352,0.86,0.86,0.98,1.00,03/02,0.72,03/09,
086079 聯發科富邦0A購02,"6,818,820","8,776,000",280,0.78,0.77,0.93,0.96,03/31,0.64,03/10,
086080 華新科富邦08購01,"356,970","1,385,000",92,0.26,0.27,0.25,0.39,03/16,0.20,03/25,
086081 欣興富邦08購02,"2,949,910","2,402,000",170,1.23,1.24,1.16,1.81,03/02,0.98,03/26,
086082 美指2X中信0A購01,"125,890","113,000",15,1.11,1.11,1.13,1.16,03/09,1.05,03/15,
086083 中鋼中信0A購01,"209,860","152,000",9,1.38,1.35,1.38,1.49,03/09,1.20,03/24,
086084 東鋼中信0B購01,"2,920,740","1,817,000",189,1.61,1.56,2.18,2.46,03/29,1.11,03/03,
086085 鴻海中信08購03,"9,888,670","7,838,000",945,1.26,1.27,1.29,1.80,03/23,0.87,03/09,
086086 台積電中信09購10,"275,300","310,000",11,0.89,0.86,0.89,1.00,03/02,0.78,03/09,
086087 國泰金中信0A購01,"2,154,680","1,404,000",90,1.53,1.52,1.91,1.91,03/31,1.08,03/04,
086088 大立光中信0A購01,"434,460","1,407,000",48,0.31,0.32,0.23,0.45,03/09,0.23,03/31,
086089 群創中信0A購03,"3,103,850","2,307,000",110,1.35,1.35,1.55,1.75,03/29,0.97,03/22,
086090 長榮航康和09購01,"869,640","507,000",32,1.72,1.60,1.57,2.02,03/02,1.45,03/10,
086091 華夏永豐08購01,"19,789,730","23,379,000",751,0.85,0.84,1.19,1.21,03/31,0.48,03/02,
086092 中鴻永豐08購01,"931,920","1,427,000",94,0.65,0.63,0.73,0.79,03/04,0.53,03/26,
086093 中橡永豐08購01,"648,270","1,363,000",58,0.48,0.47,0.44,0.58,03/08,0.40,03/25,
086094 廣宇永豐08購01,"1,456,010","2,250,000",192,0.65,0.61,0.64,0.86,03/23,0.46,03/09,
086095 華邦電永豐08購02,"12,880","42,000",3,0.31,0.32,0.34,0.34,03/31,0.29,03/26,
086096 技嘉永豐08購02,"9,624,560","14,580,000",479,0.66,0.63,0.77,0.79,03/22,0.39,03/05,
086097 微星永豐08購02,"2,382,980","5,652,000",184,0.42,0.43,0.57,0.65,03/31,0.28,03/10,
086098 大毅永豐08購02,"84,630","211,000",11,0.40,0.38,0.30,0.42,03/16,0.30,03/25,
086099 欣興永豐08購02,"9,900","38,000",4,0.26,0.28,0.26,0.33,03/18,0.25,03/23,
086101 神達永豐08購01,"1,030,300","1,384,000",51,0.74,0.78,0.75,1.07,03/02,0.67,03/10,
086102 茂林永豐08購01,"158,980","310,000",6,0.51,0.55,0.48,0.63,03/15,0.48,03/30,
086103 精成科永豐08購01,"3,854,560","4,662,000",195,0.83,0.72,0.87,1.09,03/24,0.53,03/09,
086104 聚鼎永豐08購02,"3,478,750","6,293,000",189,0.55,0.51,0.50,0.85,03/16,0.40,03/26,
086105 長華永豐08購02,"4,083,410","8,805,000",105,0.46,0.46,0.42,0.56,03/16,0.40,03/25,
086106 國巨兆豐09購01,"174,300","350,000",13,0.50,0.45,0.37,0.62,03/03,0.32,03/25,
086107 台積電兆豐09購06,"427,380","534,000",33,0.80,0.76,0.64,0.88,03/16,0.54,03/25,
086108 華邦電兆豐09購01,"33,830","77,000",11,0.44,0.44,0.48,0.55,03/03,0.35,03/09,
086109 新光金兆豐08購02,"5,971,890","6,033,000",129,0.99,0.92,1.11,1.11,03/31,0.71,03/05,
086110 泰鼎兆豐08購01,"1,583,090","1,747,000",35,0.91,0.82,0.68,1.09,03/02,0.68,03/31,
086111 元油反群益08購01,"1,088,150","879,000",100,1.24,1.28,1.29,1.61,03/24,1.02,03/08,
086113 國喬群益09購01,"6,146,300","3,998,000",190,1.54,1.44,1.73,1.79,03/29,1.20,03/24,
086114 力山群益08購01,"8,658,570","3,094,000",282,2.80,2.73,2.97,3.45,03/16,2.01,03/09,
086115 大亞群益08購02,"2,115,840","1,046,000",78,2.02,1.82,1.72,2.36,03/03,1.60,03/24,
086116 中纖群益0A購02,"6,565,000","5,894,000",238,1.11,1.08,1.01,1.26,03/09,0.95,03/24,
086117 新光鋼群益08購01,"6,924,170","5,832,000",176,1.19,1.10,1.04,1.39,03/10,0.95,03/24,
086118 台橡群益08購01,"8,815,670","3,756,000",278,2.35,2.20,1.94,2.79,03/05,1.87,03/22,
086119 中橡群益08購02,"3,922,250","2,536,000",150,1.55,1.46,1.36,1.76,03/05,1.20,03/19,
086120 三陽群益08購01,"287,390","258,000",24,1.11,1.09,1.12,1.25,03/03,0.99,03/23,
086121 光寶科群益08購01,"7,973,150","4,892,000",140,1.63,1.60,1.84,1.93,03/30,1.30,03/09,
086122 鴻海群益09購09,"96,950","105,000",16,0.92,0.94,1.08,1.13,03/17,0.75,03/04,
086123 精英群益08購01,"10,078,080","3,932,000",355,2.56,2.41,1.84,3.73,03/15,1.44,03/23,
086124 華邦電群益08購07,"2,150,760","1,388,000",47,1.55,1.54,1.63,1.77,03/30,1.30,03/10,
086125 智邦群益08購02,"5,928,220","2,729,000",187,2.17,2.24,2.59,2.73,03/02,1.65,03/09,
086126 微星群益09購01,"3,756,470","3,356,000",85,1.12,1.05,1.39,1.39,03/30,0.77,03/04,
086127 南亞科群益08購06,"1,718,160","790,000",32,2.17,2.11,1.92,2.68,03/04,1.81,03/09,
086128 美律群益08購02,"581,900","382,000",25,1.52,1.49,1.31,2.00,03/03,1.25,03/25,
086129 宏達電群益09購01,"4,081,990","3,503,000",164,1.17,1.12,1.42,1.47,03/31,0.97,03/09,
086130 國產群益08購01,"4,648,940","2,326,000",199,2.00,1.98,2.08,2.43,03/23,1.64,03/10,
086131 聯陽群益08購02,"12,254,900","7,067,000",186,1.73,1.63,1.82,2.05,03/16,1.31,03/11,
086132 亞光群益08購04,"2,042,570","2,093,000",193,0.98,0.92,0.84,1.10,03/05,0.76,03/25,
086133 景碩群益08購03,"2,566,940","1,557,000",71,1.65,1.28,1.84,2.07,03/31,0.95,03/26,
086134 健策群益08購06,"1,413,160","1,286,000",122,1.10,1.46,1.09,2.33,03/03,0.74,03/29,
086135 嘉聯益群益08購03,"4,918,340","2,178,000",166,2.26,2.16,2.00,2.51,03/23,1.86,03/25,
086136 申豐群益08購02,"14,812,830","5,984,000",362,2.48,2.85,5.60,5.60,03/31,1.51,03/04,
086137 南電群益08購06,"1,553,370","982,000",45,1.58,1.54,1.88,1.95,03/30,1.16,03/17,
086138 臺股指群益08購14,"515,790","520,000",58,0.99,1.03,1.19,1.24,03/30,0.80,03/09,
086139 元石油元大0B購01,"7,370,340","8,570,000",261,0.86,0.81,0.66,1.13,03/08,0.55,03/24,
086140 元石油元大0B購02,"57,270","61,000",11,0.94,0.97,0.81,1.16,03/16,0.71,03/24,
086143 光寶科元大08購01,"10,355,920","6,832,000",368,1.52,1.45,1.66,1.81,03/31,1.08,03/09,
086144 聯電元大08購10,"99,550","114,000",10,0.87,0.87,0.92,0.92,03/26,0.80,03/25,
086145 國巨元大08購07,"69,400","60,000",4,1.16,1.23,1.02,1.66,03/03,1.02,03/25,
086146 華泰元大09購01,"4,145,640","4,115,000",152,1.01,1.00,0.93,1.49,03/02,0.86,03/26,
086147 台積電元大08購32,"1,902,720","1,572,000",95,1.21,1.35,1.11,1.72,03/02,0.98,03/25,
086148 台積電元大0C購09,"2,247,800","3,855,000",106,0.58,0.59,0.53,0.70,03/02,0.47,03/25,
086149 台積電元大0C購10,"282,200","539,000",26,0.52,0.56,0.50,0.64,03/04,0.44,03/25,
086150 華邦電元大08購07,"391,560","264,000",113,1.48,1.43,1.49,2.19,03/02,1.17,03/09,
086151 華邦電元大09購01,"313,670","334,000",81,0.94,0.96,0.98,1.37,03/02,0.77,03/09,
086152 華邦電元大0B購01,"335,540","349,000",52,0.96,0.95,0.99,1.25,03/02,0.85,03/25,
086153 微星元大08購01,"5,663,790","4,334,000",180,1.31,1.28,1.68,1.92,03/31,0.90,03/05,
086154 友達元大0C購02,"972,300","1,041,000",93,0.93,0.95,1.19,1.23,03/30,0.82,03/16,
086155 友達元大0C購03,"3,187,390","3,239,000",109,0.98,0.90,1.09,1.17,03/29,0.78,03/17,
086156 聯發科元大08購16,"429,190","332,000",33,1.29,1.36,1.66,1.71,03/30,1.07,03/09,
086157 聯發科元大0C購05,"161,690","258,000",32,0.63,0.65,0.78,0.78,03/31,0.52,03/09,
086158 立隆電元大08購01,"3,322,030","2,745,000",64,1.21,1.17,0.97,1.50,03/02,0.93,03/26,
086159 立隆電元大09購01,"4,536,330","3,262,000",161,1.39,1.35,1.11,1.70,03/02,1.10,03/31,
086160 長榮航元大08購02,"2,835,420","2,076,000",112,1.37,1.27,1.21,1.69,03/02,1.02,03/09,
086161 聯陽元大08購02,"1,924,270","1,495,000",104,1.29,1.22,1.37,1.53,03/16,0.90,03/03,
086162 聯陽元大08購03,"8,236,350","5,815,000",323,1.42,1.29,1.54,1.71,03/16,0.81,03/19,
086163 聯陽元大09購01,"7,033,910","4,442,000",241,1.58,1.42,1.66,1.83,03/16,1.12,03/09,
086164 亞光元大08購03,"1,429,320","1,082,000",157,1.32,1.25,1.14,1.58,03/02,1.05,03/25,
086165 亞光元大08購04,"1,185,220","1,010,000",97,1.17,1.13,0.98,1.38,03/02,0.98,03/23,
086166 聯詠元大08購08,"25,801,180","16,454,000",813,1.57,1.50,2.09,2.38,03/31,1.00,03/05,
086167 聯詠元大0C購01,"30,305,750","15,757,000",830,1.92,1.87,2.50,2.70,03/31,1.39,03/05,
086168 聯詠元大0C購02,"8,232,390","10,194,000",335,0.81,0.79,1.02,1.12,03/31,0.60,03/05,
086169 景碩元大08購02,"1,627,060","1,138,000",69,1.43,1.33,2.03,2.21,03/31,1.05,03/22,
086170 景碩元大09購01,"883,730","646,000",87,1.37,1.30,2.07,2.14,03/31,0.99,03/22,
086171 玉晶光元大08購09,"3,469,790","2,222,000",180,1.56,1.39,1.42,1.78,03/03,1.05,03/24,
086172 創意元大0A購01,"1,478,740","1,870,000",32,0.79,0.92,0.79,1.31,03/02,0.69,03/25,
086173 群創元大0C購03,"206,520","162,000",18,1.27,1.07,1.45,1.56,03/29,0.82,03/10,
086174 群創元大0C購04,"6,051,690","5,206,000",244,1.16,1.08,1.55,1.69,03/30,0.85,03/17,
086175 日月光元大08購08,"5,115,170","4,566,000",158,1.12,1.15,1.13,1.29,03/03,1.00,03/25,
086176 日月光元大0C購02,"3,488,060","3,159,000",147,1.10,1.07,1.11,1.20,03/31,0.93,03/09,
086177 日月光元大0C購03,"485,140","736,000",40,0.66,0.65,0.65,0.72,03/02,0.57,03/10,
086178 乙盛元大08購04,"38,970,410","17,330,000",810,2.25,2.20,2.53,3.10,03/30,1.67,03/02,
086179 同欣電元大08購03,"295,930","283,000",20,1.05,0.99,0.94,1.14,03/12,0.88,03/26,
086180 長華元大08購02,"7,751,620","5,868,000",214,1.32,1.25,1.17,1.54,03/16,1.12,03/25,
086181 聯電日盛08購02,"126,910","232,000",7,0.55,0.56,0.51,0.80,03/02,0.43,03/08,
086182 旺宏日盛08購03,"21,570","32,000",20,0.67,0.58,0.59,0.86,03/02,0.48,03/10,
086183 友達日盛08購01,"1,995,250","1,488,000",122,1.34,1.19,1.52,1.76,03/29,0.94,03/15,
086184 亞光日盛08購01,"995,980","1,458,000",76,0.68,0.66,0.54,0.80,03/02,0.54,03/25,
086185 A50正2凱基0B購01,"187,650","350,000",23,0.54,0.55,0.44,0.85,03/03,0.43,03/22,
086186 聚陽凱基08購01,"2,939,830","1,415,000",127,2.08,1.90,2.46,2.61,03/26,1.31,03/08,
086187 亞德客凱基08購02,"716,130","821,000",54,0.87,0.80,0.85,0.97,03/29,0.61,03/05,
086188 中鴻凱基08購03,"3,023,280","2,218,000",124,1.36,1.34,1.47,1.65,03/09,1.15,03/24,
086189 大成鋼凱基0C購01,"1,364,540","1,023,000",110,1.33,1.22,1.24,1.61,03/04,1.04,03/24,
086190 大成鋼凱基0C購02,"2,937,010","2,425,000",75,1.21,1.08,1.10,1.43,03/04,0.94,03/19,
086191 廣宇凱基08購03,"6,844,530","4,168,000",398,1.64,1.57,1.54,2.26,03/23,1.23,03/09,
086192 宏碁凱基08購05,"6,938,050","2,813,000",384,2.47,2.38,3.14,3.48,03/25,1.70,03/05,
086193 技嘉凱基08購02,"2,859,090","2,814,000",203,1.02,0.94,1.12,2.32,03/29,0.55,03/05,
086194 微星凱基08購01,"3,169,980","2,899,000",141,1.09,1.11,1.53,1.72,03/31,0.75,03/09,
086195 京元電凱基08購03,"2,432,840","1,224,000",89,1.99,2.04,2.00,2.30,03/23,1.75,03/09,
086196 長榮航凱基08購03,"7,285,900","3,351,000",243,2.17,2.06,1.94,2.65,03/02,1.71,03/08,
086197 晶豪科凱基09購02,"6,067,940","3,937,000",260,1.54,1.40,1.90,2.08,03/31,1.12,03/10,
